id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate
150;Filets de maquereau;Eaux;6111162001218;;;50;5;214.jpg;
493;Filets de maquereaux;Eaux;6111249190279;;;50;5;215.jpg;
239;Ghaut;Eaux;6111128001115;;;50;5;216.jpg;
237;La Source العين;Eaux;6111271800023;;;50;5;217.jpg;
56;Oulmes Eau Gazeuse;Eaux;6111035003004;;;50;5;218.jpg;
17;Oulmes natural carbonated water;Eaux;6111035003035;;;50;5;219.jpg;
158;Oulmès eau minerale naturellement gazeuse;Eaux;6111035001024;;;50;5;220.jpg;
283;Schweppes tonic 1l;Eaux;5449000280206;12.00;;50;5;221.jpg;
2;Sidi Ali;Eaux;6111035000430;2.00;;50;5;222.jpg;
5;Sidi Ali;Eaux;6111035002175;6.00;;50;5;223.jpg;
271;Sidi Ali Kids;Eaux;6111035002359;;;50;5;224.jpg;
266;Sidi Harazem;Eaux;6111128000026;;;50;5;225.jpg;
267;Vitalya;Eaux;6111035503153;;;50;5;226.jpg;
34;ain saiss 50cl;Eaux;6111128000088;;;50;5;227.jpg;
246;filets de maquereaux à l'huile végétale;Eaux;6111263000202;;;50;5;228.jpg;
274;filets de sardines sans peau sans arêtes à l'huile végétale;Eaux;6111260550595;;;50;5;229.jpg;
225;vitalya;Eaux;6111035503115;;;50;5;230.jpg;
10;اكوافينا;Eaux;6111252421568;;;50;5;231.jpg;
15;اكوافينا;Eaux;6111252421582;;;50;5;232.jpg;
97;العين;Eaux;6111271800054;;;50;5;233.jpg;
220;Afia;Huiles & Vinaigres;6111245470023;;;50;5;234.jpg;
431;Afia;Huiles & Vinaigres;6111245470016;;;50;5;235.jpg;
377;Afia huile de table;Huiles & Vinaigres;6111245470030;;;50;5;236.jpg;
330;Hemani Coconut Oil Pure & Natural (400ML);Huiles & Vinaigres;8964000577066;;;50;5;237.jpg;
344;HuilOr - RICHE EN Vitamine E Oméga 3 et 6;Huiles & Vinaigres;6111024001226;;;50;5;238.jpg;
516;Huile Halal;Huiles & Vinaigres;;;;50;5;239.jpg;
280;Huile Lesieur 3 Graines;Huiles & Vinaigres;6111024001530;;;50;5;240.jpg;
72;Huile d'olive;Huiles & Vinaigres;6111099000254;;;50;5;241.jpg;
121;Huile d'olive vierge de Maroc;Huiles & Vinaigres;6111024004746;;;50;5;242.jpg;
310;Huile de grignon d’olive;Huiles & Vinaigres;6111062000175;;;50;5;243.jpg;
365;Huile de table;Huiles & Vinaigres;6111099000629;;;50;5;244.jpg;
80;Huile de table;Huiles & Vinaigres;6111099000599;;;50;5;245.jpg;
335;Huile de table équilibrée;Huiles & Vinaigres;6111024001974;;;50;5;246.jpg;
106;Huile de table équilibrée riche en vitamines A,E,D3;Huiles & Vinaigres;6111024001516;;;50;5;247.jpg;
198;Huile de tournesol;Huiles & Vinaigres;6111024001202;;;50;5;248.jpg;
503;Huile d’olive;Huiles & Vinaigres;;;;50;5;249.jpg;
545;Huile d’olive;Huiles & Vinaigres;;;;50;5;250.jpg;
561;Huile d’olive;Huiles & Vinaigres;;;;50;5;251.jpg;
576;Huile d’olive;Huiles & Vinaigres;;;;50;5;252.jpg;
637;Huile d’olive;Huiles & Vinaigres;;;;50;5;253.jpg;
664;Huile d’olive;Huiles & Vinaigres;;;;50;5;254.jpg;
680;Huile d’olive;Huiles & Vinaigres;;;;50;5;255.jpg;
692;Huile d’olive;Huiles & Vinaigres;;;;50;5;256.jpg;
546;Huile végétale;Huiles & Vinaigres;;;;50;5;257.jpg;
550;Huile végétale;Huiles & Vinaigres;;;;50;5;258.jpg;
649;Huile végétale;Huiles & Vinaigres;;;;50;5;259.jpg;
699;Huile végétale;Huiles & Vinaigres;;;;50;5;260.jpg;
578;Huile végétale - lot;Huiles & Vinaigres;;;;50;5;261.jpg;
236;Huille;Huiles & Vinaigres;6111024004753;;;50;5;262.jpg;
71;Hule D'olive;Huiles & Vinaigres;6111099000247;;;50;5;263.jpg;
479;Joly;Huiles & Vinaigres;6111162000464;;;50;5;264.jpg;
115;Joly Thon Entier;Huiles & Vinaigres;6111162000181;;;50;5;265.jpg;
454;La Española Extra Virgin Olive Oil;Huiles & Vinaigres;8410660098804;;;50;5;266.jpg;
290;Lio huile de table;Huiles & Vinaigres;6111099000582;;;50;5;267.jpg;
602;Louisa Huile;Huiles & Vinaigres;;;;50;5;268.jpg;
608;Okior Huile;Huiles & Vinaigres;;;;50;5;269.jpg;
278;Oleor;Huiles & Vinaigres;6111024001288;;;50;5;270.jpg;
526;Oni Huile;Huiles & Vinaigres;;;;50;5;271.jpg;
527;Oni Huile;Huiles & Vinaigres;;;;50;5;272.jpg;
