id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate;priceStatus;imageStatus
173;Aïn Ifrane;Eaux;6111251420135;0.0;0.0;50;5;173.jpg;;MISSING;MISSING
174;Aïn Soltane;Eaux;6111248360130;0.0;0.0;50;5;174.jpg;;MISSING;MISSING
175;Bahia, Eau De Table;Eaux;6111035003509;0.0;0.0;50;5;175.jpg;;MISSING;MISSING
176;Bul'tropicale;Eaux;6111035002052;0.0;0.0;50;5;176.jpg;;MISSING;MISSING
177;Ciel;Eaux;5449000061515;0.0;0.0;50;5;177.jpg;;MISSING;MISSING
178;Ciel 33cl;Eaux;42104964;0.0;0.0;50;5;178.jpg;;MISSING;MISSING
179;Ciel 50cl;Eaux;5449000135544;0.0;0.0;50;5;179.jpg;;MISSING;MISSING
180;Eau;Eaux;6111248360116;0.0;0.0;50;5;180.jpg;;MISSING;MISSING
181;Eau;Eaux;6111251420166;0.0;0.0;50;5;181.jpg;;MISSING;MISSING
182;Eau de source naturelle La Source;Eaux;6111271800030;0.0;0.0;50;5;182.jpg;;MISSING;MISSING
183;Eau de table;Eaux;5449000206770;0.0;0.0;50;5;183.jpg;;MISSING;MISSING
184;Eau de table purifiée;Eaux;6111248360291;0.0;0.0;50;5;184.jpg;;MISSING;MISSING
185;Eau mineral 33cl aman;Eaux;6111248360376;0.0;0.0;50;5;185.jpg;;MISSING;MISSING
186;Eau minerale;Eaux;6111035001383;0.0;0.0;50;5;186.jpg;;MISSING;MISSING
187;Eau minéral naturelle;Eaux;6111035502828;0.0;0.0;50;5;187.jpg;;MISSING;MISSING
188;Eau minérale;Eaux;6111128000477;0.0;0.0;50;5;188.jpg;;MISSING;MISSING
189;Eau minérale naturelle;Eaux;6111035000058;0.0;0.0;50;5;189.jpg;;MISSING;MISSING
190;Eau minérale naturelle gazeuse;Eaux;6111035502941;0.0;0.0;50;5;190.jpg;;MISSING;MISSING
191;Filets De Maquereaux À L’huile Végétale;Eaux;769503575261;0.0;0.0;50;5;191.jpg;;MISSING;MISSING
192;Filets de maquereau;Eaux;6111162001218;0.0;0.0;50;5;192.jpg;;MISSING;MISSING
193;Filets de maquereaux;Eaux;6111249190279;0.0;0.0;50;5;193.jpg;;MISSING;MISSING
194;Ghaut;Eaux;6111128001115;0.0;0.0;50;5;194.jpg;;MISSING;MISSING
195;La Source العين;Eaux;6111271800023;0.0;0.0;50;5;195.jpg;;MISSING;MISSING
196;Oulmes Eau Gazeuse;Eaux;6111035003004;0.0;0.0;50;5;196.jpg;;MISSING;MISSING
197;Oulmes natural carbonated water;Eaux;6111035003035;0.0;0.0;50;5;197.jpg;;MISSING;MISSING
198;Oulmès eau minerale naturellement gazeuse;Eaux;6111035001024;0.0;0.0;50;5;198.jpg;;MISSING;MISSING
199;Schweppes tonic 1l;Eaux;5449000280206;12.0;0.0;50;5;199.jpg;;OK;MISSING
200;Sidi Ali;Eaux;6111035000430;2.0;0.0;50;5;200.jpg;;OK;MISSING
201;Sidi Ali;Eaux;6111035002175;6.0;0.0;50;5;201.jpg;;OK;MISSING
202;Sidi Ali Kids;Eaux;6111035002359;0.0;0.0;50;5;202.jpg;;MISSING;MISSING
203;Sidi Harazem;Eaux;6111128000026;0.0;0.0;50;5;203.jpg;;MISSING;MISSING
204;Vitalya;Eaux;6111035503153;0.0;0.0;50;5;204.jpg;;MISSING;MISSING
205;ain saiss 50cl;Eaux;6111128000088;0.0;0.0;50;5;205.jpg;;MISSING;MISSING
206;filets de maquereaux à l'huile végétale;Eaux;6111263000202;0.0;0.0;50;5;206.jpg;;MISSING;MISSING
207;filets de sardines sans peau sans arêtes à l'huile végétale;Eaux;6111260550595;0.0;0.0;50;5;207.jpg;;MISSING;MISSING
208;vitalya;Eaux;6111035503115;0.0;0.0;50;5;208.jpg;;MISSING;MISSING
209;اكوافينا;Eaux;6111252421568;0.0;0.0;50;5;209.jpg;;MISSING;MISSING
210;اكوافينا;Eaux;6111252421582;0.0;0.0;50;5;210.jpg;;MISSING;MISSING
211;العين;Eaux;6111271800054;0.0;0.0;50;5;211.jpg;;MISSING;MISSING
212;Afia;Huiles & Vinaigres;6111245470023;0.0;0.0;50;5;212.jpg;;MISSING;MISSING
213;Afia;Huiles & Vinaigres;6111245470016;0.0;0.0;50;5;213.jpg;;MISSING;MISSING
214;Afia huile de table;Huiles & Vinaigres;6111245470030;0.0;0.0;50;5;214.jpg;;MISSING;MISSING
215;Hemani Coconut Oil Pure & Natural (400ML);Huiles & Vinaigres;8964000577066;0.0;0.0;50;5;215.jpg;;MISSING;MISSING
216;HuilOr - RICHE EN Vitamine E Oméga 3 et 6;Huiles & Vinaigres;6111024001226;0.0;0.0;50;5;216.jpg;;MISSING;MISSING
217;Huile Halal;Huiles & Vinaigres;;0.0;0.0;50;5;217.jpg;;MISSING;MISSING
